City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,bikenibeu village,1.3673,173.1241,28.98,84,75,3.09,KI,1703401474
161,empangeni,-28.762,31.8933,27.38,73,76,3.79,ZA,1703401474
162,aldan,58.6031,125.3894,-17.92,97,100,2.05,RU,1703401475
163,piacabucu,-10.4056,-36.4344,25.78,82,93,2.02,BR,1703401475
164,pokhara,28.2333,83.9833,21.39,37,0,2.62,NP,1703401475
165,dolores,-36.3132,-57.6792,17.18,95,82,1.53,AR,1703401476
166,dudinka,69.4058,86.1778,-19.62,100,100,2.68,RU,1703401155
167,isafjordur,66.0755,-23.124,-7.27,93,100,14.64,IS,1703401186
168,grand baie,-20.0182,57.5802,30.26,76,100,1.34,MU,1703401266
169,arraial do cabo,-22.9661,-42.0278,24.18,92,100,2.33,BR,1703401477
170,puerto baquerizo moreno,-0.9,-89.6,24.21,85,10,4.93,EC,1703401250
171,bardai,11.65,7.2333,15.5,26,100,6.14,NG,1703401167
172,santa cruz,-17.8,-63.1667,25.7,89,75,5.14,BO,1703401240
173,lovington,32.944,-103.3485,6.68,92,0,0.89,US,1703401478
174,port mathurin,-19.6833,63.4167,26.92,76,100,6.17,MU,1703400919
175,dzyarzhynsk,53.6832,27.138,-1.83,91,81,6.38,BY,1703401478
176,ozherel'ye,54.7961,38.2672,-1.34,95,100,3.89,RU,1703401479
177,uturoa,-16.7333,-151.4333,26.1,87,100,5.48,PF,1703401186
178,cochin,9.9399,76.2602,31.99,54,100,1.04,IN,1703401450
179,pisco,-13.7,-76.2167,20.03,88,0,1.03,PE,1703401480
180,gadani,25.1185,66.7299,26.12,21,4,5.12,PK,1703401480
181,mar del plata,-38.0023,-57.5575,18.94,87,100,4.92,AR,1703401466
182,vorgashor,67.5833,63.95,-16.02,94,29,2.75,RU,1703401174
183,minas de marcona,-15.2119,-75.1103,16.5,89,100,3.72,PE,1703401163
184,praia da vitoria,38.7333,-27.0667,17.09,72,75,4.41,PT,1703401411
185,manismata,-2.4667,111.0333,31.38,63,100,0.76,ID,1703401482
186,pago pago,-14.2781,-170.7025,27.27,78,93,9.41,AS,1703401242
187,vernon,50.2581,-119.2691,-2.26,89,56,2.57,CA,1703401296
188,jenison,42.9072,-85.792,7.41,96,100,1.34,US,1703401483
189,yacuiba,-22.038,-63.6797,23.95,84,38,1.34,BO,1703401483
190,pemangkat,1.1667,108.9667,27.91,81,100,3.96,ID,1703401483
191,puerto ayora,-0.7393,-90.3518,24.19,98,61,1.34,EC,1703401131
192,tchibanga,-2.85,11.0333,25.17,91,84,0.65,GA,1703401484
193,mana,5.6592,-53.7767,24.97,92,75,2.87,GF,1703401485
194,brookings,44.3114,-96.7984,9.47,97,100,8.23,US,1703401274
195,mount gambier,-37.8333,140.7667,15.13,78,100,6.84,AU,1703401390
196,mermoz boabab,14.7065,-17.4758,21.88,78,0,4.12,SN,1703401261
197,polyarnyy,69.1989,33.4478,-1.05,88,100,6.63,RU,1703401247
198,araguaina,-7.1911,-48.2072,25.56,63,100,1.18,BR,1703401203
199,lock haven,41.137,-77.4469,6.1,88,100,1.23,US,1703401486
200,ad dabbah,18.05,30.95,18.56,36,0,6.1,SD,1703401487
201,conceicao do mato dentro,-19.0372,-43.425,19.89,99,100,2.02,BR,1703401487
202,jamestown,42.097,-79.2353,6.77,100,100,3.09,US,1703401488
203,kuching,1.55,110.3333,30.12,92,40,4.12,MY,1703401452
204,shevchenko,48.5,35.0,-0.1,75,95,5.46,UA,1703401489
205,tres de maio,-27.7733,-54.24,20.44,94,0,1.55,BR,1703401489
206,saldanha,-33.0117,17.9442,22.03,78,0,4.36,ZA,1703401489
207,nishinoomote,30.7333,131.0,13.31,58,75,4.12,JP,1703401489
208,mount pearl,47.5166,-52.7813,-3.15,83,40,7.2,CA,1703401407
209,san pedro pochutla,15.7333,-96.4667,20.76,48,24,1.87,MX,1703401174
210,richards bay,-28.783,32.0377,26.7,79,100,4.32,ZA,1703401217
211,aykhal,66.0,111.5,-19.84,99,100,0.88,RU,1703401490
212,burao,9.5221,45.5336,23.36,58,8,2.35,SO,1703401491
